Date,Predicted_Visitors
2017-09-10,19.454852916890633
2017-09-11,21.860700134503436
2017-09-12,21.30032216268257
2017-09-13,18.145315299818215
2017-09-14,19.89455004358391
2017-09-15,20.01246236486437
2017-09-16,20.051052435860587
2017-09-17,17.368389344857732
2017-09-18,20.360729900892178
2017-09-19,20.428863477881645
2017-09-20,17.92774947215849
2017-09-21,20.338716856354104
2017-09-22,21.10825301240464
2017-09-23,21.77051442624123
2017-09-24,19.666342696885792
2017-09-25,23.17587889113287
2017-09-26,23.685373580977362
2017-09-27,21.537245422076285
2017-09-28,24.202645346737842
2017-09-29,25.1205428219664
2017-09-30,25.820458017980826
2017-10-01,23.64161685788123
2017-10-02,26.965617942628832
2017-10-03,27.183207213870887
2017-10-04,24.644214339858067
2017-10-05,26.82991158906142
2017-10-06,27.191817780441045
2017-10-07,27.274079554447926
2017-10-08,24.432217336847334
2017-10-09,27.065337078714503
